o_provincia	o_localidad	o_calle	o_numero	o_CP
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	AV.CASTAÑARES	-4897	1439
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ARENALES	-3360	1425
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SAN JUAN AVDA.	-1701	1148
SANTA FE	VERA	SAN MARTIN	0	3550
CORDOBA	CORDOBA	AV CIRCUNVALACION (ENTRE RUTAS 5 Y 36)	0	5016
MISIONES	POSADAS	AYACUCHO Y SGO. DEL ESTERO	0	3300
MISIONES	VILLA BONITA	VENEZUELA Y PERU	0	3361
MISIONES	MONTECARLO	EL LIBERTADOR Y RIVADAVIA	0	3384
CORDOBA	ROSALES	FLORENTINO LAFOURCADE	0	6128
CORDOBA	ADELIA MARIA	MITRE Y RIVADAVIA	0	5843
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	OBLIGADO RAFAEL AVDA. COSTANERA	0	1425
MISIONES	DOS DE MAYO	RUTA 211 KM 49	0	3364
CORDOBA	SAN PEDRO (CINTRA-DPTO. UNION)	CENTENARIO ESQ MAIPU	0	2559
RIO NEGRO	RIO COLORADO	JUAN B JUSTO Y URQUIZA	0	8138
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DE LOS INMIGRANTES Y RAMON S. CASTILLO	0	1104
BUENOS AIRES	FLORENCIO VARELA	ALFONSINA STORNI Y REP DE FRANCIA	0	1888
BUENOS AIRES	BARADERO	AMEGHINO Y JULIAN O'ROARKE	0	2942
CORDOBA	ALTA GRACIA	AVDA LIBERTADOR Y LINCOLN SUR	0	5186
SANTA FE	VERA	SAN MARTIN	0	3550
BUENOS AIRES	PEHUAJO	CARLOS PELLEGRINI Y CHASSAING	0	6450
CORRIENTES	PASO DE LOS LIBRES	B.508-SECTOR 208-MANZ.F-C.19	0	3230
LA RIOJA	LA RIOJA	RUTA 5 KM 5500	0	5300
ENTRE RIOS	CHAJARI	28 DE MAYO ESQ. ARTIGAS	0	3228
CORDOBA	CORDOBA	CNO. A SAN ANTONIO KM. 5	0	5016
