o_provincia	o_localidad	o_calle	o_numero	o_CP
BUENOS AIRES	TIGRE	ALTE BROWN Y RIO LUJAN	0	1648
BUENOS AIRES	ALBERDI	LERNOUD Y QUINTANA	0	6034
LA PAMPA	ATALIVA ROCA	ZONA RURAL ESTAB DON LUIS	0	6301
CORDOBA	FERREYRA, DEPARTAMENTO CAPITAL	RUTA NACIONAL 9 KM 695	0	5123
CORDOBA	CORDOBA	CNO. SAN CARLOS KM 6	0	5000
BUENOS AIRES	GENERAL MADARIAGA	PARAJE TIO DOMINGO	0	7163
CORDOBA	ALMAFUERTE	RUTA NRO 36 KM 712	0	5854
MISIONES	POSADAS	RUTA 12 KM. 8	0	3300
SANTA FE	VERA	SAN MARTIN Y LISANDRO DE LA TORRE	0	3550
BUENOS AIRES	SAN EMILIO (PDO. GRAL. VIAMONT	SAN EMILIO	0	6017
NEUQUEN	PLAZA HUINCUL	AV. PEDRO ROTTER	0	8318
MENDOZA	COSTA DE ARAUJO	SAN LUIS S/N	0	5535
BUENOS AIRES	MAIPU	BELGRANO Y RIVADAVIA	0	7160
SAN LUIS	SAN ROQUE (DPTO. LA CAPIT	PARQUE IND.SAN ROQUE	0	5701
LA PAMPA	RANCUL	COLON Y SARMIENTO	0	6214
BUENOS AIRES	LAS ARMAS	AV EL GAUCHO Y EL CEIBO	0	7172
MISIONES	COLONIA 25 DE MAYO	TORTA QUEMADA	0	3363
NEUQUEN	NEUQUEN	SAN MARTIN Y COMBATE DE SAN LORENZO	0	8300
BUENOS AIRES	MAR DEL PLATA	CALLE 1000 ENTRE 1001 Y 1003	0	7600
CORDOBA	SAN AGUSTIN	RUTA 36 KM 744	0	5191
CORDOBA	CORDOBA	CNO PAJAS BLANCAS KM 4 Y MEDIO	0	5000
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
CORDOBA	EL QUEBRACHAL	CNO A SANTA ROSA KM 13	0	5101
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CASTILLO RAMON S. PRESIDENTE INTERSECCION OBLIGADO	0	1104
BUENOS AIRES	ALBERDI	CONSTITUCION Y LEBENSHON	0	6034
CORDOBA	VILLA DOLORES	EDISON ESQ. F. ERDMAN	0	5870
CORRIENTES	SANTO TOME	BERTRAN Y PELLEGRINI	0	3340
CORDOBA	MARCOS JUAREZ	RUTA NACIONAL 9 KM 444	0	2580
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	ETO. VIROCAY	0	3342
BUENOS AIRES	AZUL	RUTA 51 KM 216	0	7300
RIO NEGRO	CIPOLLETTI	SEC CHACRAS LOTE 11 CH 17 4 ESQUINAS	0	8324
CORDOBA	CORONEL MOLDES	SAN MARTIN Y JUAN BUSSO	0	5847
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	YRIGOYEN Y VIRREY CEVALLOS	0	1089
SIN PROVINCIA	SIN LOCALIDAD	AV LAS PALMERAS	0	5500
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
CORDOBA	LA CESIRA	ZONA RURAL	0	6101
NEUQUEN	COLONIA VALENTINA	CHIVILCOY Y EPECUEN	0	8301
CHUBUT	COMODORO RIVADAVIA	135 120 BARRIO INDUSTRIAL	0	9000
MISIONES	CAMPO VIERA	KM.28	0	3362
SAN LUIS	SAN LUIS	CALLE 106 ESQ. 2 Y 4 - PQUE INDUSTRIAL SAN LUIS	0	5700
BUENOS AIRES	CORONEL ISLEÑO	CASILLA DE CORREO 87	0	2747
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA RURAL	0	2449
SANTA CRUZ	CALETA OLIVIA	EJERCITO ARGENTINO ESQ 17	0	9011
RIO NEGRO	RIO COLORADO	BROWN Y VIGLEGAS	0	8138
LA RIOJA	CHAMICAL	RUTA 38 KM 1019	0	5380
CATAMARCA	BELEN	OBISPO ESQUIU	0	4750
CORDOBA	CORDOBA	CIRCUNVALACION Y CAMINO SAN CARLOS	0	5000
BUENOS AIRES	MAIPU	LAVALLE Y LAPRIDA	0	7160
MISIONES	RUIZ DE MONTOYA	AV LOS INMIGRANTES	0	3334
BUENOS AIRES	SALAZAR	AV VESGA Y J HERNANDEZ	0	6471
MISIONES	MONTECARLO	RUTA NAC 12 Y ACC MONTECARLO	0	3384
BUENOS AIRES	AZUL	BURGOS Y BELGRANO	0	7300
CORDOBA	HERNANDO	INTENDENTE LIENDO S/N	0	5929
CORDOBA	MARCOS JUAREZ	ANTARTIDA ARGENTINA Y JB MONETTO	0	2580
BUENOS AIRES	VILLA GESELL	ALAMEDA 205 Y CALLE 302	0	7165
CORDOBA	LOS CISNES	PUBLICA	0	2684
SALTA	CERRILLOS	FINCA LAS PALMAS	0	4403
BUENOS AIRES	MERCEDES	32 E/23 Y 25	0	6600
CORDOBA	SERREZUELA	RUTA 38	0	5270
BUENOS AIRES	ROBERTS	ESTANCIA SAN JULIAN	0	6075
RIO NEGRO	CINCO SALTOS	CINCO SALTOS	0	8303
SAN LUIS	JUSTO DARACT	RUTA 7 KM. 660	0	5738
BUENOS AIRES	LOS TOLDOS	CUARTEL 4	0	6015
LA RIOJA	LA RIOJA	BASAN Y BUSTOS ESQ CATAMARCA	0	5300
BUENOS AIRES	SALTO	RUTA 191 KM 95	0	2741
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	OBLIGADO RAFAEL AVDA. COSTANERA	0	1428
BUENOS AIRES	MERCEDES	RUTA 5 KM. 92.5	0	6600
CORDOBA	VILLA RUMIPAL	VILLA RUMIPAL	0	5864
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	HIPOLITO YRIGOYEN Y VIRREY CEVALLOS	0	1140
BUENOS AIRES	AGUSTINA	AGUSTINA	0	6001
MISIONES	CANDELARIA	RUTA NAC.12 - KM.1366	0	3308
BUENOS AIRES	BAIGORRITA	BELGRANO Y SAN MARTIN-ZONA RURAL-	0	6013
BUENOS AIRES	QUILMES	CALLE 815 Y 882 BIS	0	1878
CORDOBA	VILLA CARLOS PAZ	HIROSHIMA Y EMERSON	0	5152
CORDOBA	COLONIA CAROYA	RUTA 9 KM 751	0	5223
CORDOBA	LOZADA	CORRIENTES	0	5101
MENDOZA	LUJAN DE CUYO	RUTA 40	0	5507
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA URBANA	0	2449
CHUBUT	ALTO RIO SENGUER	SAN MARTIN	0	9033
BUENOS AIRES	PEHUAJO	ALSINA Y VARELA	0	6450
MENDOZA	LOS CORRALITOS	2 DE MAYO	0	5527
CATAMARCA	RECREO	CONGRESO Y RUTA 20	0	5260
BUENOS AIRES	MANUEL B. GONNET	CNO GRAL BELGRANO KM 6,5	0	1897
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	ESTABLECIMIENTO RINCON VIOLA	0	3342
BUENOS AIRES	SAN PEDRO	MORENO Y LA LAGUNA	0	2930
BUENOS AIRES	ESCOBAR	AV. 25 DE MAYO Y COLON	0	1625
CORDOBA	FERREYRA, DEPARTAMENTO CAPITAL	LA CARBONADA	0	5123
MISIONES	COLONIA ALBERDI, DEPTO. OBERA	LOTE 56 SECCION VI	0	3361
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	RUTA NAC. 14 Y PROVINCIAL 67	0	3342
NEUQUEN	NEUQUEN	BEJARANO Y VILLA LA ANGOSTURA	0	8300
BUENOS AIRES	GENERAL ARENALES	CUARTEL II	0	6005
BUENOS AIRES	PASTEUR	AV OSCAR B MONTES	0	6077
LA PAMPA	RANCUL	ZONA RURAL	0	6214
JUJUY	FRAILE PINTADO	LA BAJADA	0	4506
CORDOBA	CORDOBA	CNO SAN CARLOS KM 5	0	5000
BUENOS AIRES	URQUIZA	RUTA 8 KM 206	0	2718
CORDOBA	CRUZ ALTA	ESTANCIA LAS LUISAS	0	2189
BUENOS AIRES	LOS TOLDOS	CUARTEL 5	0	6015
CORDOBA	RIO 4TO.	ACCESO 005 ENLACES RUTA 8 Y 36	0	5800
CORDOBA	DESPEÑADEROS	RIVADAVIA	0	5121
CORDOBA	CRUZ DEL EJE	CORDOBA ESQ VELEZ SARSFIELD	0	5280
LA PAMPA	REALICO	PARAGUAY Y 2 DE MARZO	0	6200
LA PAMPA	VICTORICA	ZONA RURAL	0	6319
MISIONES	MONTECARLO	EL LIBERTADOR KM 8 1/2	0	3384
SAN LUIS	SAN LUIS	AV CENTENARIO ESQ AGUERO	0	5700
CORDOBA	CRUZ DEL EJE	CNO A MEDIA NARANJA	0	5280
CORRIENTES	CORONEL DESIDERIO SOSA	ESTABLECIMIENTO PARAISO	0	3342
BUENOS AIRES	GENERAL RODRIGUEZ	CASILLA DE CORREO 165 (ALTURA ACCESO OESTE KM 50 1/2 )	0	1748
SANTA FE	SAN JUSTO	GDOR IRIONDO	0	3040
ENTRE RIOS	LOS CHARRUAS	AV. FRANCISCO RAMIREZ S/N	0	3212
CORDOBA	JESUS MARIA	BUENOS AIRES ESQ ALTE BROWN	0	5220
MENDOZA	CIUDAD DE JUNIN	MARTINEZ	0	5573
CORDOBA	CHAÑAR VIEJO	PUBLICA	0	5248
BUENOS AIRES	SANSINENA	PLANTA URBANA	0	6233
CORDOBA	CORDOBA	10 DE OCTUBRE BO LOS CAROLINOS	0	5000
CHUBUT	TREVELIN	BO. BANCO HIPOTECARIOS CASA 10	0	9203
CORDOBA	CORDOBA	MZA 58 CASA 15 BO LAS LILAS	0	5000
BUENOS AIRES	VILLA GESELL	AVDA 1 Y PASEO 119	0	7165
LA PAMPA	REALICO	REALICO	0	6200
CORDOBA	ALTA GRACIA	RUTA 5 KM 28	0	5186
CORDOBA	EL BRETE	EL BRETE	0	5281
RIO NEGRO	CINCO SALTOS	PARQUE INDUSTRIAL CINCO SALTOS - CASILLA C. N* 64	0	8303
FORMOSA	PALO SANTO	AV 2 DE ABRIL Y CALLE 10	0	3608
BUENOS AIRES	MAR DEL PLATA	P RAMOS Y 41	0	7600
CORDOBA	BARRIO FERREIRA	AV MANUEL SAVIO	0	5123
SANTA FE	RECREO SUR	RUTA NAC NRO 11 KM 478	0	3001
BUENOS AIRES	9 DE JULIO	RUTA 5 KM 262,10	0	6500
CORDOBA	RIO 1ro.	RUTA NAC. 19 KM. 283 (RIO PRIMERO)	0	5127
LA PAMPA	SANTA ROSA	AV SAN MARTIN Y 25 DE MAYO	0	6300
BUENOS AIRES	MAIPU	ALSINA Y LYNCH	0	7160
BUENOS AIRES	LOS TOLDOS	BARRIO OBRERO CASA 25	0	6015
BUENOS AIRES	SAN MIGUEL	MUÑIZ Y AGUERO	0	1663
CHUBUT	COMODORO RIVADAVIA	JUAN B JUSTO	0	9000
SANTA FE	VILLA CONSTITUCION	AV. DEL TRABAJO Y ALBERDI	0	2919
SALTA	ORAN	RUTA NAC. N° 50 KM 30 - RIO BLANCO	0	4530
TUCUMAN	SAN MIGUEL DE TUCUMAN	RIVADAVIA ESQ URUGUAY	0	4000
BUENOS AIRES	SALTO	BUENOS AIRES Y CASTELLI	0	2741
LA PAMPA	MACACHIN	MACACHIN	0	6307
BUENOS AIRES	MAR DEL PLATA	NUEVO CENTRO COMERCIAL PUERTO LOCAL 10	0	7600
CORDOBA	ALTA GRACIA	ELIAS LOPEZ	0	5186
MENDOZA	SAN RAFAEL	AV SARMIENTO Y 9 DE JULIO	0	5600
BUENOS AIRES	LAS TOSCAS	ZONA URBANA	0	6453
BUENOS AIRES	25 DE MAYO	31 E/2 Y 3	0	6660
CORRIENTES	SANTO TOME	HIPOLITO IRIGOYEN E INDEPENDENCIA	0	3340
CORRIENTES	CORONEL DESIDERIO SOSA	ET* VILLA ZENAIDA	0	3342
LA RIOJA	CHAMICAL	FALUCHO Y J. V. GONZALEZ	0	5380
CORDOBA	VILLA NUEVA	CARRANZA AVDA. Y SAN MARTIN	0	5903
BUENOS AIRES	CAMPANA	RAWSON Y 25 DE MAYO	0	2804
BUENOS AIRES	ROBERTS	ESTAB LA NONITA	0	6075
CORRIENTES	CORONEL DESIDERIO SOSA	EST* IFRAN CUE	0	3342
CORDOBA	COLONIA TIROLESA	RUTA NACIONAL 111KM. 14	0	5101
ENTRE RIOS	CHAJARI	RUTA PROV. N* 1	0	3228
MENDOZA	MAIPU	PALMA Y OZAMIS	0	5515
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
CORDOBA	JESUS MARIA	RUTA 9 KM 752	0	5220
MISIONES	POSADAS	URUGUAY Y SANTA CRUZ	0	3300
CORDOBA	CORDOBA	BV SAN JUAN ESQ VELEZ SARSFIELD	0	5000
CORDOBA	HUINCA RENANCO	CHUBUT	0	6270
CORDOBA	CORDOBA	RUTA 19 KM 333	0	5000
BUENOS AIRES	CAÑUELAS	RUTA 205 KM.79	0	1814
CORDOBA	JUAREZ CELMAN	CAMINO A JESUS MARIA KM 10 1/2	0	5145
CHACO	LA CLOTILDE	CALLE 5	0	3701
BUENOS AIRES	ARRECIFES	RUTA 8 KM 175	0	2740
LA PAMPA	WINIFREDA	ZONA RURAL	0	6313
CORDOBA	TICINO	PRESIDENTE ILLIA S N	0	5925
BUENOS AIRES	QUEQUEN	AVDA JUAN DE GARAY	0	7631
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ANTARTIDA ARGENTINA AVDA. (ZONA PUERTO)	0	1104
TUCUMAN	TAFI VIEJO	EL CADILLAL	0	4103
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ARMENIA 1502	0	1414
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA URBANA	0	2449
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
LA PAMPA	MIGUEL CANE	SAN MARTIN	0	6331
SAN LUIS	LA TOMA	GARCIARENA Y 9 DE JULIO	0	5750
MENDOZA	POTRERILLOS	RUTA 7 S/N	0	5549
CORDOBA	TOLEDO	RUTA 9 KM 685	0	5123
CORDOBA	CORONEL BAIGORRIA	ZONA URBANA	0	5811
ENTRE RIOS	CONCORDIA	BOLIVAR	0	3200
CORDOBA	CERRO DE LAS ROSAS	SARMIENTO ESQUINA ASTRADA	0	5009
BUENOS AIRES	BECCAR	P ACEVEDO Y HUDSON S/N	0	1643
LA PAMPA	BERNARDO LARROUDE	DR. FRANCISCO SPERONI	0	6220
CORDOBA	ADELIA MARIA	SECCION QUINTAS	0	5843
MISIONES	JARDIN AMERICA	ALFONSINA ASTORNI	0	3328
LA PAMPA	REALICO	C DE C 12	0	6200
SAN LUIS	UNION	ZONA RURAL	0	6216
CORDOBA	GENERAL CABRERA	RUTA NAC 158	0	5809
BUENOS AIRES	EL TALAR	ITALIA ESQ 25 DE MAYO	0	1618
BUENOS AIRES	MAR DEL PLATA	CORODBA ESQ PEÑA	0	7600
BUENOS AIRES	ROBERTS	RIVADAVIA Y AMEGHINO S/N	0	6075
BUENOS AIRES	MARTINEZ DE HOZ	CUARTEL X	0	6533
TUCUMAN	SAN MIGUEL, DEPTO. CRUZ ALTA	SIN NUMERO	0	4178
BUENOS AIRES	LOS TOLDOS	CUARTEL III EST LA CAUTIVA GRAL VIAMONTE	0	6015
CORDOBA	CORRALITO	SARMIENTO	0	5853
CORDOBA	SAN AGUSTIN	VELEZ SARSFIELD ESQ.ROQUE SAENZ PEÑA	0	5191
CORRIENTES	LA CRUZ (DPTO. SAN MARTIN)	MISIONES Y LIBERTAD	0	3346
LA PAMPA	SANTA ROSA	CHACO Y LIBERTAD	0	6300
MISIONES	CONCEPCION DE LA SIERRA	ZONA RURAL	0	3355
ENTRE RIOS	GUALEGUAYCHU	URQUIZA Y NAGERA	0	2820
CHUBUT	TREVELIN	RUTA 259 KM. 17	0	9203
CORRIENTES	LA CRUZ (DPTO. SAN MARTIN)	CRISTOBAL ALTAMIRANO	0	3346
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
NEUQUEN	PLOTTIER	RUTA 22 Y OLAVARRIA	0	8316
NEUQUEN	VILLA LA ANGOSTURA	EL MICHAY	0	8407
RIO NEGRO	RIO COLORADO	EXPEDICIONARIOS AL DESIERTO Y ALEN	0	8138
CORDOBA	HERNANDO	9 DE JULIO Y LAVALLE	0	5929
CORDOBA	WENCESLAO ESCALANTE	ITALIA ESQ GRAL JUAN D PERON	0	2655
BUENOS AIRES	ASCENSION	MITRE Y 9 DE JULIO	0	6003
BUENOS AIRES	SAN MIGUEL	MUÑIZ Y AGUERO	0	1663
CORDOBA	SAN JAVIER	PUBLICA	0	5875
MENDOZA	MAIPU	MAZA ESQ. AZCUENAGA	0	5515
BUENOS AIRES	JUNIN	CASILLA DE CORREO 269	0	6000
SALTA	CERRILLOS	FINCA SAN MARTIN	0	4403
RIO NEGRO	RIO COLORADO	RIVADAVIA Y BELGRANO	0	8138
SANTA FE	CACIQUE ARIACAIQUIN	ZONA URBANA	0	3041
RIO NEGRO	SAN CARLOS DE BARILOCHE	ZONA URBANA	0	8400
CORDOBA	MORRISON	25 DE MAYO	0	2568
BUENOS AIRES	MERCEDES	AV. 40 E/ 11	0	6600
BUENOS AIRES	BENAVIDEZ	RUTA 27 ENTRE FUNES Y FADER	0	1621
BUENOS AIRES	ROJAS	RUTA NAC 188 KM 110	0	2705
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
LA PAMPA	WINIFREDA	1RA JUNTA Y URQUIZA	0	6313
BUENOS AIRES	ALBERDI	RUTA NACIONAL N 7 KM 342 50	0	6034
SALTA	LA MERCED	RUTA 68 KM. 161	0	4421
CORDOBA	LA CRUZ, DEPARTAMENTO CALAMUCHITA	ZONA RURAL	0	5859
BUENOS AIRES	LOMAS DE ZAMORA	MONSEÑOR CHIMENTO	0	1832
RIO NEGRO	SAN ANTONIO OESTE	O'HIGGINS - P. INDUSTRIAL	0	8520
CORDOBA	EL PUEBLITO (DPTO. COLON)	RUTA PROVINCIAL 53 ESQ ARRECIFES	0	5107
BUENOS AIRES	GUERNICA	21 Y AVDA 33	0	1862
NEUQUEN	VILLA LA ANGOSTURA	LOMAS DEL CORRENTOSO	0	8407
ENTRE RIOS	GUALEGUAY	CERRITO Y ALARCON MU IZ	0	2840
BUENOS AIRES	GENERAL PINTO	EST LAS ROSAS	0	6050
MISIONES	ELDORADO	RUTA 17 KM 13 1/2	0	3380
TUCUMAN	MANANTIAL	CALLE INDEPENDENCIA	0	4105
CORDOBA	RIO CUARTO	PTE PERON E Y CALLE PUBLICA PARQUE INDUSTRIAL	0	5800
FORMOSA	INGENIERO JUAREZ	BELGRANO	0	3636
LA PAMPA	SANTA ROSA	SANTA ROSA	0	6300
MENDOZA	COQUIMBITO	DORREGO S/N	0	5513
CORRIENTES	SANTO TOME	SAN MARTIN Y P BERTRAN	0	3340
LA PAMPA	PARERA	LINO PEREZ	0	6213
BUENOS AIRES	PILAR	ACCESO NORTE RAMAL PILAR KM 49 Y CHACABUCO	0	1629
MENDOZA	EL CENTRAL	CARRIL CHIMBAS S/N KM 35	0	5589
CORDOBA	LA CAUTIVA	SAN MARTIN S/N	0	6142
CATAMARCA	BELEN	LONDRES	0	4750
MISIONES	JARDIN AMERICA	ZONA RURAL	0	3328
NEUQUEN	ALUMINE	ESTABLECIMIENTO LA GOTERA	0	8345
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
BUENOS AIRES	ARRECIFES	AV DARDO ROCHA Y LAMADRID	0	2740
SAN LUIS	MERLO	AV DEL SOL Y PRINGLES	0	5881
BUENOS AIRES	VILLA GESELL	PASEO 145 Y AVDA 1	0	7165
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
CORDOBA	RIO 1ro.	CNO A CAÑADA DE MACHADO INTERSEC RUTA 19	0	5127
MENDOZA	CIUDAD DE JUNIN	PRIMAVERA	0	5573
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA URBANA	0	2449
MENDOZA	SAN MARTIN	SAN LORENZO Y 9 DE JULIO	0	5570
CORDOBA	CHAZON	CALLE 17 ESQUINA CALLE 19	0	2675
CORDOBA	ADELIA MARIA	SANTIAGO DEL ESTERO	0	5843
CORDOBA	HUINCA RENANCO	RUTA 35 KM 526	0	6270
BUENOS AIRES	9 DE JULIO	MADARIAGA Y MORENO	0	6500
TIERRA DEL FUEGO	RIO GRANDE	RUTA 3 KM. 2800	0	9420
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
CORRIENTES	LA CRUZ (DPTO. SAN MARTIN)	MANUEL SUSSINI	0	3346
BUENOS AIRES	MERCEDES	C. DEL XIV	0	6600
CORRIENTES	SANTO TOME	ESTANCIA SANTA MARIA	0	3340
BUENOS AIRES	SAN CLEMENTE DEL TUYU	CALLE 2 ESQ. 1 EDIF. RIAZZOR IX	0	7105
BUENOS AIRES	ARRECIFES	RUTA 51	0	2740
LA PAMPA	WINIFREDA	ZONA RURAL	0	6313
ENTRE RIOS	VILLA DEL ROSARIO	ZONA RURAL	0	3229
SAN JUAN	VILLA ABERASTAIN	11	0	5427
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
BUENOS AIRES	LINCOLN-ROBERTS	ESTANCIA LA PRIMAVERA	0	6075
BUENOS AIRES	PILAR	RUTA 25 KM 7 CUARTEL V	0	1629
SIN PROVINCIA	SIN LOCALIDAD	RICARDO BALBIN Y CERVANTES	0	5850
CORDOBA	FERREYRA, DEPARTAMENTO CAPITAL	CNO A LA CARBONADA KM 9 Y 1/2	0	5123
BUENOS AIRES	ARRECIFES	AV SARMIENTO Y RUTA 51	0	2740
CORDOBA	BUCHARDO	BELGRANO	0	6225
CORDOBA	ALEJANDRO	AVELLANEDA	0	2686
CORDOBA	LAS PLAYAS	LAS PLAYAS	0	5000
LA PAMPA	REALICO	AV MULLALLY Y SAN MARTIN	0	6200
LA PAMPA	EDUARDO CASTEX	YRIGOYEN	0	6380
BUENOS AIRES	PILAR	RUTA 8 KM. 60	0	1629
CORDOBA	VILLA ALLENDE	AV SAN ALFONSO	0	5105
BUENOS AIRES	SALTO	AMERICA Y LUIS PIEDRABUENA	0	2741
SAN LUIS	JUAN LLERENA	ZONA RURAL	0	5735
ENTRE RIOS	VILLA DEL ROSARIO	COLONIA VILLA DEL ROSARIO	0	3229
RIO NEGRO	CIPOLLETTI	BARRIO 12 DE SEPTIEMBRE TIRA 2 CASA 15	0	8324
NEUQUEN	SENILLOSA	URQUIZA Y S CRUZ	0	8316
SANTA FE	ROSARIO	WILDE Y MENDOZA	0	2000
SANTA FE	RAMAYON	ZONA RURAL RAMAYON	0	3042
CORDOBA	SUCO	18 DE OCTUBRE	0	5837
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ROLDAN BELISARIO AVDA.	0	1425
BUENOS AIRES	MERCEDES	RUTA N5 KM 104.500	0	6600
CORDOBA	ALTA GRACIA	MALVINAS ARGENTINAS E ITUZAINGO	0	5186
BUENOS AIRES	BRAGADO	COMODORO PY	0	6640
CORDOBA	MATTALDI	ZONA RURAL	0	6271
CORDOBA	LAS HIGUERAS	ITALIA Y MARTIN GUEMES	0	5805
TUCUMAN	CRUZ ALTA	LOS BULACIOS	0	4111
CHACO	CHARATA	COOP AGRICOLA DE CHARATA	0	3730
BUENOS AIRES	SALTO	RIVADAVIA ESQ SAAVEDRA	0	2741
SALTA	CERRILLOS	RUTA 21 - CAMINO 2 SAN AGUSTIN - CERRILLOS	0	4403
BUENOS AIRES	ITUZAINGO	PTE. PERON 7285	0	1714
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
SANTA FE	SAN JUSTO	RUTA NACIONAL 11 KM 564	0	3040
BUENOS AIRES	JUNIN	BTO DE MIGUEL Y DRA FULGENCI	0	6000
BUENOS AIRES	TORRES	C ARENALES Y C HERNANDEZ	0	6703
CORDOBA	JESUS MARIA	TUCUMAN ESQ JOHN KENNEDY	0	5220
SALTA	EMBARCACION	20 DE FEBRERO	0	4550
MISIONES	POSADAS	AV LAVALLE Y AV CDTE ANDRESITO	0	3300
CHUBUT	COMODORO RIVADAVIA	RUTA 3 Y PORTUGAL	0	9000
CHUBUT	TREVELIN	CHACRA NRO. 7	0	9203
TUCUMAN	BURRUYACU	MACOMITA	0	4119
CORRIENTES	SANTO TOME	BRASIL Y CENTENO	0	3340
CORDOBA	HERNANDO	9 DE JULIO Y LAVALLE	0	5929
SANTA FE	VENADO TUERTO	MITRE Y MORENO	0	2600
LA PAMPA	INTENDENTE ALVEAR	ZONA RURAL BERNARDO LARROUDE	0	6221
CORDOBA	ALTA GRACIA	B ROLDAN ESQ LOPEZ AGRELLO	0	5186
BUENOS AIRES	GUERNICA	BARRIO LAS LOMAS	0	1862
LA PAMPA	MIGUEL CANE	BV ESPAÑA	0	6331
CHUBUT	RIO MAYO	25 DE MAYO S/N	0	9030
BUENOS AIRES	TIMOTE	LEOPOLDO LUGONES	0	6457
MENDOZA	CARRODILLA	BO LOS OLIVOS MANZ F CASA 28	0	5505
BUENOS AIRES	LA MANUELA	PLANTA URBANA	0	6439
SANTA FE	VERA	BELGRANO Y CORDOBA	0	3550
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	ESTABL. LAS MARIAS	0	3342
BUENOS AIRES	BENAVIDEZ	MANZANA 64 LOTE 8	0	1621
SANTA FE	RAMAYON	ZONA RURAL	0	3042
CORRIENTES	COLONIA LIEBIG	BELGRANO	0	3358
LA PAMPA	EDUARDO CASTEX	SARMIENTO Y ZEBALLOS	0	6380
MISIONES	CAMPO VIERA	LOTE 27 SECCION VII	0	3362
BUENOS AIRES	VILLA RAMALLO	URQUIZA	0	2914
MENDOZA	CIUDAD DE JUNIN	CORREA	0	5573
CORDOBA	SAN PEDRO	CNO A CHANCANI	0	5871
SAN LUIS	BUENA ESPERANZA	INDEPENDENCIA Y BME MITRE	0	6277
CHACO	LAGUNA BLANCA	ZONA URBANA	0	3514
CHACO	JUAN JOSE CASTELLI	MARIANO MORENO	0	3705
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	OBLIGADO RAFAEL AVDA. COSTANERA	0	1425
MISIONES	CAMPO VIERA	LOTE 140 SECCION VII	0	3362
CORDOBA	RIO CUARTO	RUTA 8 KM. 603	0	5800
CORRIENTES	SANTO TOME	INDEPENDENCIA Y B. MITRE	0	3340
BUENOS AIRES	PASTEUR	ZONA RURAL	0	6077
BUENOS AIRES	VILLA CELINA	EDIFICIO 69 BRIO GRAL PAZ	0	1772
CORDOBA	CRUZ DEL EJE	CORDOBA	0	5280
SANTA FE	ROSARIO	WILDE Y MENDOZA	0	2000
MISIONES	CAPIOVY	ZONA RURAL	0	3332
BUENOS AIRES	TIGRE	RUTA 197 KILOMETRO 3	0	1648
CORDOBA	LABORDE	BV. GRAL. PAZ ESQ. MORENO	0	2657
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
CHUBUT	COMODORO RIVADAVIA	RUTA 3 KM 1846	0	9000
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BRASIL (ZONA PUERTO)	0	1107
SANTA FE	AVELLANEDA	RUTA NAC. 11 KM.793	0	3561
BUENOS AIRES	MERCEDES	2 Y 119	0	6600
BUENOS AIRES	AZUL	H YRIGOYEN Y MORENO	0	7300
SANTA FE	CARCARAÑA	SARMIENTO Y CHACABUCO	0	2138
SANTA FE	RUEDA	URQUIZA	0	2921
CORDOBA	GUIÑAZU	CNO A JESUS MARIA KM 8 Y 1/2	0	5000
SAN JUAN	POCITO-ABERASTAIN	5 Y LAPRIDA	0	5427
RIO NEGRO	CIPOLLETTI	CASILLA DE CORREO 205	0	8324
BUENOS AIRES	BALCARCE	RUTA 226 KM 64.5	0	7620
JUJUY	CAIMANCITO	SAN JUAN	0	4516
CORRIENTES	GOBERNADOR INGENIERO VALENTIN VIRASORO	ESTABLECIMIENTO LAS MARIAS	0	3342
