o_provincia	o_localidad	o_calle	o_numero	o_CP
CATAMARCA	BELEN	CASA 111 BO PRESB MANUEL A ACEVEDO	0	4750
CORDOBA	CORDOBA	AV 11 DE SETIEMBRE KM 12 Y 1/2	0	5000
BUENOS AIRES	PASTEUR	ZONA RURAL	0	6077
RIO NEGRO	RIO COLORADO	SARMIENTO Y ECHEVERRRIA	0	8138
RIO NEGRO	CIPOLLETTI	RUTA 22 Y CALLE 205	0	8324
CORDOBA	RANQUELES	ZONA URBANA	0	6271
BUENOS AIRES	VILLA GESELL	AVDA 1 Y PASEO 138	0	7165
MISIONES	POSADAS	LIBANO Y BARRUFALDI	0	3300
MENDOZA	LA LLAVE	VIÑUELA	0	5603
CORRIENTES	LA CRUZ (DPTO. SAN MARTIN)	SAN MARTIN	0	3346
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
SAN JUAN	ANGACO NORTE	NACIONAL S/N	0	5415
CORDOBA	COLONIA TIROLESA	RUTA A 74 KM 22	0	5101
MISIONES	POSADAS	AV QUARANTA Y RUTA NAC.12	0	3300
TUCUMAN	BANDA DEL RIO SALI	RUTA 9 KM 1296	0	4109
SAN LUIS	BUENA ESPERANZA	JUAN CLARK	0	6277
CORDOBA	HUINCA RENANCO	LA PAMPA	0	6270
CORDOBA	GUIÑAZU	CNO A JESUS MARIA KM 7 Y 1/2	0	5145
SALTA	CERRILLOS	CERRILLOS	0	4403
SANTA FE	PEREZ	RUTA 33 KM 848	0	2121
MENDOZA	FRAY LUIS BELTRAN	LOS ALAMOS	0	5531
CHACO	MESON DE FIERRO	ZONA URBANA	0	3731
SANTA CRUZ	PUERTO DESEADO	BARRIO CENTENARIO ESC 27	0	9050
CHUBUT	ALTO RIO SENGUER	AMEGHINO	0	9033
BUENOS AIRES	MERCEDES	31 Y 112	0	6600
MISIONES	TRES CAPONES	CHACRA 9	0	3353
SANTA FE	VILLA CONSTITUCION	CATAMARCA E INDEPENDENCIA	0	2919
SANTA FE	VERA	MUDRY Y RIVADAVIA	0	3550
BUENOS AIRES	VICENTE CASARES	RUTA 205 KM. 54	0	1808
BUENOS AIRES	MERCEDES	19 ENTRE 50 Y 52	0	6600
FORMOSA	INGENIERO JUAREZ	ZONA RURAL	0	3636
CORDOBA	CORDOBA, EXPEDICION	CAMINO A SAN ANTONIO KM 4.5	0	5100
CORDOBA	ARROYO ALGODON	Z URBANO	0	5909
MENDOZA	INGENIERO GIAGNONI	JOSE MILORDO	0	5582
MENDOZA	COQUIMBITO	CARRIL RODRIGUEZ PEÑA KM 7,5	0	5513
JUJUY	SAN PEDRO	TENIENTE IBAÑEZ ESQ MITE	0	4500
JUJUY	PALPALA	AV GRAL. SAVIO	0	4612
MENDOZA	GODOY CRUZ	BARRIO LA GLORIA MNA D CASA 71	0	5501
LA PAMPA	BERNARDO LARROUDE	ESTANCIAS LA SARA	0	6220
CORDOBA	HERNANDO	9 JULIO Y LAVALLE	0	5929
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA RURAL	0	2449
CORRIENTES	SANTO TOME	AV.LAS AMERICAS Y ALVEAR	0	3340
ENTRE RIOS	BENITO LEGEREN	CALLE CHACO	0	3203
CORDOBA	ADELIA MARIA	AV. SAN MARTIN ESQ. LAPRIDA	0	5843
BUENOS AIRES	JUAN BAUTISTA ALBERDI	ZONA RURAL	0	6034
CORDOBA	CORRALITO	VELEZ SARSFIELD Y SAN MARTIN	0	5853
BUENOS AIRES	ROJAS	RUTA NACIONAL 188 KM 110	0	2705
MISIONES	MONTECARLO	ANTARTIDA ARGENTINA	0	3384
CORDOBA	RIO 4TO.	AV GODOY CRUZ ESQ O HIGGINS	0	5800
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
BUENOS AIRES	JUNIN	ZONA RURAL	0	6000
MISIONES	SANTA ANA	MANZANA 209	0	3316
ENTRE RIOS	CHAJARI	COLONIA VILLA LIBERTAD	0	3228
BUENOS AIRES	9 DE JULIO	ZONA RURAL	0	6500
CORDOBA	PASCANAS	ESPAÑA Y SAENZ PEÑA	0	2679
CORDOBA	BUCHARDO	SAN MARTIN	0	6225
BUENOS AIRES	MAR DE AJO	RIO PILCOMAYO Y LOS ANDES	0	7109
CHUBUT	COMODORO RIVADAVIA	LARREA Y MAÑAS	0	9000
TUCUMAN	MONTEROS	RUTA PROVINCIAL 324 KM 12	0	4142
CORDOBA	GENERAL LAVALLE	ZONA RURAL	0	6132
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
LA PAMPA	CEREALES	ESTANCIA ATAHUALPA	0	6301
RIO NEGRO	GENERAL FERNANDEZ ORO	PRIMEROS POBLADORES	0	8325
CORDOBA	VILLA DE SOTO	SAN MARTIN Y RIVADAVIA	0	5284
ENTRE RIOS	PARAJE GUAYAQUIL	ESTABLECIMIENTO SAN MARTIN	0	3228
CORDOBA	CRUZ ALTA	ZONAL RURAL	0	2189
NEUQUEN	NEUQUEN	PARAJE RINCON DE EMILIO	0	8300
CORDOBA	RINCON	RUTA 13	0	5961
SANTA FE	VERA	SARMIENTO Y ESPAÑA	0	3550
CATAMARCA	BELEN	OBISPO ESQUIU	0	4750
CORRIENTES	SANTO TOME	IRIGOYEN Y BELTRAN	0	3340
CORDOBA	VILLA NUEVA	RUTA PROV NRO 4	0	5903
CATAMARCA	ANDALGALA	SAN MARTIN Y MERCADO	0	4740
BUENOS AIRES	GENERAL PINTO	SECCION QUINTAS	0	6050
CORDOBA	JESUS MARIA	TUCUMAN ESQ ZIPOLI	0	5220
SALTA	LA MERCED	S/N	0	4421
SALTA	CERRILLOS	S/N	0	4403
BUENOS AIRES	EXALTACION DE LA CRUZ	RUTA 39 Y CALLE VIENA	0	2812
CORDOBA	LOS CONDORES	RUTA NACIONAL NRO. 36 KM 697	0	5823
CORDOBA	GENERAL DEHEZA	RUTA NACIONAL 158 KM 69	0	5923
CORDOBA	CORDOBA	RUTA 9 KM 694	0	5020
BUENOS AIRES	ROJAS	AV 25 DE MAYO	0	2705
SALTA	CERRILLOS	CERRILLOS	0	4403
CORDOBA	ADELIA MARIA	ZONA RURAL	0	5843
BUENOS AIRES	TAPIALES	AUTOPISTA RICCHERI Y BOULOGNE SUR MER	0	1770
CORDOBA	RIO CUARTO	M T DE ALVEAR ENLACE RUTA 8 Y 36	0	5800
SAN LUIS	BUENA ESPERANZA	PEDERNERA	0	6277
MISIONES	PANAMBI	ESTAFETA KM 8	0	3361
CORDOBA	JAMES CRAIK	BV SAN MARTIN ESQ MALVINAS ARGENTINAS	0	5984
SANTA FE	MAGGIOLO	casilla de correo n° 27	0	S26SSWAA
CORDOBA	VILLA CARLOS PAZ	AV ASUNCION BO LA QUINTA	0	5152
SAN LUIS	MERLO	P BECERRA	0	5881
BUENOS AIRES	CENTRO AGRICOLA EL PATO	RUTA NAC 2 KM 40800	0	1893
CATAMARCA	CATAMARCA	RUTA NAC Nø 38 KM 10	0	4700
CHUBUT	TREVELIN	13 DE DICIEMBRE S/NRO.	0	9203
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	0	0	0
BUENOS AIRES	TODD	RUTA NACIONAL 8 Y SARMIENTO	0	2754
CATAMARCA	BELEN	AV CALCHAQUI ESQ GRAL PAZ	0	4750
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
MISIONES	COLONIA 25 DE MAYO	PARAJE SARMIENTO	0	3363
CORDOBA	COLONIA TIROLESA	RUTA A 74	0	5101
CHACO	VILLA ANGELA	CASILLA CORREO 26	0	3540
LA PAMPA	EMBAJADOR MARTINI	CALLE 7 ENTRE 4 Y 6	0	6203
BUENOS AIRES	LA PLATA	RUTA PROVINCIAL 36 Y 630	0	1900
SAN JUAN	SAN JUAN	AV IGNACIO DE LA ROZA Y PAULA A DE SARMIENTO	0	5400
SAN LUIS	MERLO	CNEL MERCAU Y SOBREMONTE	0	5881
BUENOS AIRES	ROOSEVELT ,PTDO. RIVADAVIA	PTE ILLA	0	6403
CORDOBA	CORDOBA	CARDEÑOSA Y FRAY LUIS BELTRAN	0	5008
BUENOS AIRES	PILAR	9 ENTRE 8 Y 10 -COMPLEJO RPI-	0	1629
BUENOS AIRES	ALBERDI	SAAVEDRA Y QUINTANA	0	6034
SAN LUIS	VILLA MERCEDES	25 DE MAYO Y RUTA 7	0	5730
RIO NEGRO	CATRIEL	LA PAMPA E INGENIERO EDUARDO GARRO	0	8307
SAN LUIS	VILLA MERCEDES	RUTA NAC. 148 SUR KM.754	0	5730
BUENOS AIRES	MARIANO ACOSTA	COLPAYO Y LUIS VIALE	0	1723
CHACO	VILLA ANGELA	JUAN B.JUSTO Y SARMIENTO	0	3540
CORDOBA	ALEJANDRO	J. INGENIEROS Y SAN MARTIN	0	2686
CORDOBA	LA CESIRA	ZONA RURAL	0	6101
TUCUMAN	SANTA ROSA DE LEALES	S N	0	4111
MENDOZA	RODEO DE LA CRUZ	GODOY CRUZ	0	5525
SAN JUAN	9 DE JULIO	DIAG SARMIENTO Y PARAGUAY	0	5417
CORDOBA	VILLA RETIRO	RUTA A 74 KM 10 1/2	0	5012
SAN LUIS	SAN LUIS	CALLE 108 ENTRE 4 Y 6 PARQUE IND.	0	5700
MISIONES	SANTA ANA	AV. SAN MARTIN	0	3316
MISIONES	GARUPA	RUTA 12 KM 10	0	3304
SANTA FE	SAN MARTIN DE LAS ESCOBAS	ZONA URBANA	0	2449
MISIONES	SAN JAVIER	J.LENUZA Y SARMIENTO	0	3357
SALTA	CERRILLOS	CERRILLOS	0	4403
CORDOBA	CORDOBA	CNO. SAN CARLOS KM. 3 1/2	0	5000
BUENOS AIRES	GRAND BOURG	RUTA PANAMERICANA KM 34 3	0	1615
BUENOS AIRES	AZUL	RUTA 3 Y JUAN B JUSTO	0	7300
BUENOS AIRES	LEANDRO N. ALEM	ZONA RURAL	0	6032
BUENOS AIRES	30 DE AGOSTO	ESTANCIA LA FORTUNA	0	6405
CORDOBA	VICUÑA MACKENNA	LIBERTADOR GRAL SAN MARTIN E IDE	0	6140
CORDOBA	MONTE BUEY	RIVADAVIA Y GRAL PAZ	0	2589
MENDOZA	LA LLAVE	VIÑUELA	0	5603
SANTA FE	SANTA CLARA DE BUENA VISTA	ZONA RURAL CAMPO QUI ONES	0	2258
MISIONES	COLONIA WANDA	RUTA NAC.12 KM 1594	0	3376
BUENOS AIRES	LA PLATA	518 ESQUINA 12	0	1901
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CRISOLOGO LARRALDE Y PADRE CANEVARY	0	1428
CORDOBA	BELL VILLE	BV. AZCASUBY Y J.B. JUSTO	0	2550
FORMOSA	FORMOSA	AV GONZALEZ LELONG	0	3600
CORDOBA	LOS CERRILLOS, DEPARTAMENTO SAN JAVIER	ZONA RURAL	0	5871
CORDOBA	SINSACATE	SINSACATE DTO TOTORAL	0	5220
MISIONES	POSADAS	AV TAMBOR DE TACUARI Y BERMUDEZ	0	3300
SANTIAGO DEL ESTERO	SANTIAGO DEL ESTERO	CALLE 101 (E)13 14 B*VILLA BORGES	0	4200
BUENOS AIRES	OSTENDE	MORENO Y ALTE BROWN	0	7167
SANTA FE	VILLA CONSTITUCION	PERON PTE. Y MORENO	0	2919
JUJUY	SANTA BARBARA	PUESTO NUEVO-PALMA SOLA	0	4513
ENTRE RIOS	PARANA	LOS CEIBOS Y LOS ZORZALES	0	3100
CORDOBA	GIGENA	ZONA RURAL	0	5813
CORDOBA	CRUZ ALTA	AVDA.KONEKAMP	0	2189
CORDOBA	CORDOBA	CHAMICAL ESQUINA ARIZA	0	5000
JUJUY	PERICO	CASILLA DE CORREO 18	0	4608
