o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	FOREST AVDA.	355	1427	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV C FOREST	355	1427	CO	SM	JORGE NEWBERY	JOSE ANTONIO MAURE	N
CORDOBA	RIO 3ro.	HIPOLITO IRIGOYEN	1193	5850	CORDOBA	TERCERO ARRIBA	RIO TERCERO	BELGRANO	AV PTE H YRIGOYEN	1193	5850	CO	SM	FELIPE VARELA	GENERAL FRANCISCO RAMIREZ	N
BUENOS AIRES	HAEDO	PRESIDENTE PERON 3133	S/N	1706	BUENOS AIRES	MORON	EL PALOMAR		AV PTE J D PERON	3133	1684	CO	SM	PELUFFO	JUAN O FARRELL	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CERRITO	1136	1010	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010	CO	SM	AVENIDA SANTA FE	ARENALES	N
SANTA FE	LAS PAREJAS	SIN DIRECCION	S/N	2505	SANTA FE		LAS PAREJAS		SIN DIRECCION		2505	NE	CI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ROSARIO	200	1424	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	ROSARIO	200	1424	CO	SM	FRANCISCO DOBLAS	FRANCISCO DOBLAS	N
BUENOS AIRES	CIUDADELA	HIPOLITO YRIGOYEN	1445	1702	BUENOS AIRES	TRES DE FEBRERO	CIUDADELA		PTE H YRIGOYEN	1445	1702	CO	SM	AVENIDA MILITAR		N
BUENOS AIRES	VILLA MADERO	COCHABAMBA	2101	1768	BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	COCHABAMBA	2101	1766	CO	SM	ALVAREZ	ALVAREZ	N
CHACO	VILLA ANGELA	COLON	860	3540	CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		AV COLON	860	3540	CO	SM	AVENIDA MONTEAGUDO	SANTA CRUZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SANTA FE AVDA.	1480	1060	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	1480	1060	CO	SM	URUGUAY	PARANA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PERON JUAN DOMINGO TTE. GRAL.	2823	1198	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2823	1198	CO	SM	AVENIDA GENERAL JUAN MARTIN DE PUEYRREDON	BOULOGNE SUR MER	N
CORDOBA	CORDOBA	AV CIRCUNVALACION (ENTRE RUTAS 5 Y 36)	0	5016	CORDOBA		CORDOBA		AVENIDA CIRCUNVALACION		5016	NE	AI			
BUENOS AIRES	SAN ISIDRO	TISCORNIA	1100	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV B TISCORNIA	1100	1642	CO	SM	CONTRALMIRANTE MARTIN GUERRICO	AVENIDA MITRE	N
BUENOS AIRES	SAN ISIDRO	RIVADAVIA	129	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	129	1642	CO	SM	LEANDRO NICEFORO ALEM	MARTIN Y OMAR	N
BUENOS AIRES	VILLA MADERO	CALLAO	441	1766	BUENOS AIRES	LA MATANZA	LA TABLADA		CALLAO	441	1766	CO	SM	GREGORIO DEAN FUNES	CORONEL SUAREZ	N
CHUBUT	TRELEW	PARAGUAY	729	9100	CHUBUT	RAWSON	TRELEW	CENTRO	PARAGUAY	729	9100	CO	SM	PECORARO	MARCONI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PERON EVA AVDA.	5128	1439	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	AV M EVA DUARTE DE PERON	5128	1439	CO	SM	PASAJE CAROYA	JOSE JOAQUIN ARAUJO	N
MENDOZA	GENERAL GUTIERREZ	R.PEÃ?A Y RESCARA	S/N	5511	MENDOZA		GENERAL GUTIERREZ		R PEAA		5511	DU	DS			
BUENOS AIRES	SAN MARTIN		CALLE SAN LORENZO		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	CALLE SAN LORENZO			NE	AI			
CORDOBA	ALMAFUERTE	L.N.ALEM Y RUTA NRO.	36	5854	CORDOBA		ALMAFUERTE		LEANDRO NICEFORO ALEM		5854	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	QUINTANA PRESIDENTE AVDA.	325	1014	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV PRES MANUEL QUINTANA	325	1014	CO	SM	NICOLAS RODRIGUEZ PEÑA	AVENIDA CALLAO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CHARCAS	3073	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	CHARCAS	3073	1425	CO	SM	AGUERO	GALLO	N
