n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
CORDOBA	SANTA MARIA	ALTA GRACIA	CARLOS PELLEGRINI	AV PELLEGRINI	971	5186
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CRISOLOGO LARRALDE	1890	1429
BUENOS AIRES	LOMAS DE ZAMORA	BANFIELD		FELIX DE AZARA	1780	1828
BUENOS AIRES	SAN ISIDRO	BECCAR		BRASIL	440	1643
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1189	1092
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	PINTO	4851	1429
BUENOS AIRES	MORON	HAEDO		GDOR E CASTRO	729	1706
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA EDEN ARGENTINO	AV GRAL SAN MARTIN	3694	1826
BUENOS AIRES	TRES DE FEBRERO	JOSE INGENIEROS	PARTIDO 3 DE FEBRERO	BRANDSEN		2
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	540	1053
SANTA FE	ROSARIO	ROSARIO	CENTRO	CORDOBA	1438	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084
ENTRE RIOS	CONCORDIA	CONCORDIA		SAN LORENZO OESTE	748	3200
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR M MORENO	1417	1093
SANTA FE	LAS COLONIAS	FRANCK		PRES BERNARDINO RIVADAVIA	1998	3009
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	DR C TEJEDOR	733	1424
BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AV BDIER J M DE ROSAS	1590	1752
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 84	4357	1650
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	INT CAMPOS		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	VIRREY LINIERS	1935	1241
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CNEL N VEGA	5047	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	478	1087
BUENOS AIRES	PEHUAJO	PEHUAJO		CDORO P LUIS ZANNI	253	6450
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PEREYRA L	2536	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	711	1073
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	BALCARCE	248	1064
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	T GARCIA	1963	1426
BUENOS AIRES	JOSE CLEMENTE PAZ	JOSE CLEMENTE PAZ		AV PTE J D PERON	4346	1665
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	J CUBAS	3418	1419
CORDOBA	CAPITAL	CORDOBA	BAJO GALAN	BV CASTRO BARROS	1176	5008
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	991	1054
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL MITRE	745	1036
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA PAZ GENERAL	13	1429
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	530	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	935	1074
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	E VALDENEGRO	4315	1430
BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		FRENCH	64	1646
BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		M DIAZ VELEZ	1051	1636
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	BRASIL	3237	1260
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	ARAOZ	655	1414
BUENOS AIRES	MORON	EL PALOMAR		FLUGUERTO	1336	1684
BUENOS AIRES	MORON	MORON		DR J M CASULLO	363	1708
BUENOS AIRES		ADOLFO GONZALES CHAVES		CASILLA CORREO	121	7513
CORDOBA			LOS BOULEVARES	ALMOGAVARES	235	5147
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES		AV COLOMBIA	4300	1425
ENTRE RIOS	CONCORDIA	CONCORDIA		PELLEGRINI	1759	3200
BUENOS AIRES	CORONEL BRANDSEN	CORONEL BRANDSEN		CASTELLI	747	1980
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	PICHINCHA	1765	1249
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	AV CABILDO	3642	1429
BUENOS AIRES	SAN ISIDRO	VILLA ADELINA		DEAN FUNES	1570	1607
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	ANTONIO BERUTI	3538	1425
BUENOS AIRES	TANDIL	TANDIL		9 DE JULIO	578	7000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	UGARTECHE	3121	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	SAN BLAS	4549	1407
MENDOZA	CAPITAL	MENDOZA		CNEL PLAZA	446	5500
CORDOBA	CAPITAL	CORDOBA	ALTO ALBERDI	L PINELO	408	5002
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	HOLMBERG	4127	1430
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV A ROLON	716	1642
BUENOS AIRES	TRES DE FEBRERO	LOMA HERMOSA		RIO SALADO	8557	1657
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	MALABIA	460	1414
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		SAENZ PEAA ROQUE		1035
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN CRISTOBAL	ESTADOS UNIDOS	1828	1227
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	PRES JOSE E URIBURU	279	1027
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	1537	1048
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MONTEVIDEO	770	1019
MISIONES		POSADAS		POSADAS		3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV DEL LIBERTADOR	774	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV CABILDO	280	1426
CORRIENTES		ITUZAINGO		ENTRE RIOS	58	3400
BUENOS AIRES	ARRECIFES	ARRECIFES		RICARDO GUTIERREZ		2740
BUENOS AIRES	HURLINGHAM	HURLINGHAM		J DE GARAY	472	1686
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LIBERTAD		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	359	1049
CORDOBA	CAPITAL	CORDOBA	CENTRO	CORRIENTES	81	5000
BUENOS AIRES	TIGRE	TIGRE		AV D M CAZON	585	1648
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	GUARDIA NACIONAL	2292	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	AV REGIMIENTO DE PATRICIOS	78	1265
CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	SUCRE	2385	5001
BUENOS AIRES	OLAVARRIA	SIERRAS BAYAS		RUTA PROVINCIAL 76		7403
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	C CALVO	3773	1230
BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		CONSTITUCION	487	1646
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	HUBAC	5956	1439
CORDOBA	RIO CUARTO	CORONEL MOLDES		AV A TOSCO	199	5847
BUENOS AIRES	ESTEBAN ECHEVERRIA	9 DE ABRIL	1 DE MAYO	M ARBEL	3700	1776
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	JUAN A GARCIA	5154	1407
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV B RIVADAVIA	1319	1033
BUENOS AIRES	LOMAS DE ZAMORA	TEMPERLEY		PASCO	4015	1834
BUENOS AIRES	CAÑUELAS	ALEJANDRO PETION		RP 205		1808
BUENOS AIRES	PILAR	PRESIDENTE DERQUI		SANTA FE	2126	1635
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	J SALGUERO	60	1177
CORDOBA	CAPITAL	CORDOBA	CENTRO	ONCATIVO	50	5000
BUENOS AIRES	ZARATE	ZARATE		J LIMA DE ATUCHA	441	2800
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LAVALLE		
CORRIENTES	CAPITAL	CORRIENTES	LA ROSADA	CORDOBA	341	3400
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR B DE IRIGOYEN	330	1072
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	3243	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	TACUARI	2019	1139
BUENOS AIRES	LA MATANZA	LA TABLADA		MERLO	10	1766
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR A ALSINA	2041	1090
BUENOS AIRES	MERLO	MERLO		CERVANTES	1901	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	CARLOS A LOPEZ	3648	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR L PASTEUR	272	1028
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	G DE LAFERRERE	2793	1406
BUENOS AIRES	CAÑUELAS	CAÑUELAS		DEL CARMEN	441	1814
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	GRAL LUCIO MANSILLA	2668	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	ALVARADO	2354	1290
SIN PROVINCIA		SIN LOCALIDAD		S/N		
SALTA		CERRILLOS		PRO EGIDIO BONATO	225	4403
BUENOS AIRES	SAN ISIDRO	MARTINEZ		DR J JOSE PASO	107	1640
SANTA FE	ROSARIO	ROSARIO	CENTRO	ITALIA	965	2000
BUENOS AIRES	MERLO	SAN ANTONIO DE PADUA		INDEPENDENCIA	705	1718
SANTA FE	CASEROS	CASILDA	NUEVA ROMA	DANTE ALIGHIERI	3103	2170
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	SUR	COMBATE DE SAN LORENZO	247	4000
NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FLORENCIA	JUAN J LASTRA	980	8300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV CORRIENTES	1847	1045
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA REAL	BRUSELAS	1468	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	AV F BEIRO	4201	1419
BUENOS AIRES	VICENTE LOPEZ	VICENTE LOPEZ		AV DEL LIBERTADOR	1742	1638
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	ARRIBEÑOS	2273	1428
MISIONES	CAPITAL	POSADAS	CENTRO	GRAL SIMON BOLIVAR	1450	3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	M RIGLOS	848	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	VALENTIN VIRASORO	1352	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	RIOBAMBA	1026	1116
BUENOS AIRES	HURLINGHAM	HURLINGHAM		BIZET	2985	1686
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	AV CABILDO	4160	1429
BUENOS AIRES	PILAR	DEL VISO		LOBUNO	405	1669
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	NOGOYA	4912	1417
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	CNEL J MOLDES	1931	1428
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	154	1642
CORDOBA	CAPITAL	CORDOBA	VILLA CABRERA	AV O PINTO	3077	5009
BUENOS AIRES	AVELLANEDA	SARANDI		VILLA DE LUJAN	1331	1872
BUENOS AIRES	CAMPANA	CAMPANA		CASTILLA	621	2804
BUENOS AIRES		VILLA LOMA HERMOSA		DIAGONAL 190		1428
